 N,avr w,avr s,avr t, 50 w, 50 s, 50 t, 99 w, 99 s, 99 t, 99.9w, 99.9s, 99.9t, max w, max s, max t,dev w,dev s,dev t
 1,0.000,0.004,0.004,0.000,0.004,0.004,0.001,0.005,0.005, 0.001, 0.006, 0.006, 0.044, 0.018, 0.051,0.000,0.000,0.000
 2,0.000,0.004,0.005,0.000,0.004,0.005,0.001,0.005,0.005, 0.001, 0.006, 0.006, 0.021, 0.117, 0.117,0.000,0.001,0.001
 3,0.000,0.005,0.005,0.000,0.005,0.005,0.001,0.006,0.006, 0.001, 0.006, 0.007, 0.007, 0.122, 0.123,0.000,0.001,0.001
 4,0.000,0.005,0.005,0.000,0.005,0.005,0.001,0.006,0.006, 0.001, 0.006, 0.007, 0.006, 0.012, 0.012,0.000,0.000,0.000
 5,0.000,0.005,0.005,0.000,0.005,0.005,0.001,0.006,0.006, 0.001, 0.007, 0.007, 0.005, 0.171, 0.171,0.000,0.001,0.001
 6,0.000,0.005,0.005,0.000,0.005,0.005,0.001,0.006,0.006, 0.001, 0.007, 0.007, 0.005, 0.019, 0.019,0.000,0.000,0.001
 7,0.000,0.005,0.006,0.000,0.005,0.006,0.001,0.006,0.007, 0.001, 0.007, 0.008, 0.006, 0.014, 0.014,0.000,0.001,0.000
 8,0.000,0.005,0.006,0.000,0.005,0.006,0.001,0.006,0.006, 0.001, 0.007, 0.007, 0.005, 0.018, 0.019,0.000,0.000,0.000
 9,0.000,0.006,0.006,0.000,0.006,0.006,0.001,0.007,0.007, 0.001, 0.008, 0.008, 0.022, 0.014, 0.031,0.000,0.000,0.000
10,0.000,0.006,0.006,0.000,0.006,0.006,0.001,0.007,0.007, 0.001, 0.008, 0.008, 0.005, 0.017, 0.017,0.000,0.000,0.001
11,0.000,0.006,0.007,0.000,0.006,0.007,0.001,0.007,0.008, 0.001, 0.008, 0.009, 0.007, 0.015, 0.015,0.000,0.000,0.001
12,0.000,0.006,0.007,0.000,0.006,0.007,0.001,0.007,0.008, 0.001, 0.008, 0.009, 0.007, 0.017, 0.018,0.000,0.000,0.000
13,0.000,0.007,0.007,0.000,0.007,0.007,0.001,0.008,0.008, 0.001, 0.009, 0.009, 0.007, 0.024, 0.024,0.000,0.001,0.000
14,0.000,0.007,0.007,0.000,0.007,0.007,0.001,0.008,0.008, 0.001, 0.009, 0.010, 0.008, 0.016, 0.018,0.000,0.001,0.001
15,0.000,0.007,0.008,0.000,0.007,0.008,0.001,0.008,0.009, 0.001, 0.009, 0.010, 0.005, 0.018, 0.018,0.001,0.000,0.001
16,0.001,0.007,0.008,0.001,0.007,0.007,0.001,0.008,0.008, 0.001, 0.009, 0.010, 0.005, 0.025, 0.025,0.001,0.000,0.001
17,0.001,0.008,0.008,0.001,0.008,0.008,0.001,0.008,0.009, 0.001, 0.010, 0.011, 0.031, 0.016, 0.044,0.001,0.001,0.000
18,0.001,0.008,0.008,0.001,0.008,0.008,0.001,0.009,0.009, 0.001, 0.010, 0.011, 0.006, 0.017, 0.017,0.000,0.001,0.000
19,0.001,0.008,0.009,0.001,0.008,0.009,0.001,0.009,0.010, 0.001, 0.010, 0.011, 0.007, 0.020, 0.021,0.000,0.001,0.001
20,0.001,0.008,0.009,0.001,0.008,0.009,0.001,0.009,0.010, 0.001, 0.011, 0.011, 0.006, 0.019, 0.020,0.000,0.000,0.001
21,0.001,0.008,0.009,0.001,0.008,0.009,0.001,0.009,0.010, 0.001, 0.011, 0.011, 0.006, 0.025, 0.026,0.000,0.001,0.001
22,0.001,0.009,0.009,0.001,0.009,0.009,0.001,0.010,0.010, 0.001, 0.011, 0.012, 0.009, 0.020, 0.021,0.000,0.001,0.001
23,0.001,0.009,0.010,0.001,0.009,0.010,0.001,0.010,0.011, 0.001, 0.011, 0.012, 0.006, 0.018, 0.019,0.000,0.001,0.001
24,0.001,0.009,0.010,0.001,0.009,0.010,0.001,0.010,0.011, 0.001, 0.011, 0.012, 0.007, 0.020, 0.020,0.000,0.000,0.001
25,0.001,0.009,0.010,0.001,0.009,0.010,0.001,0.010,0.011, 0.001, 0.012, 0.013, 0.008, 0.022, 0.023,0.000,0.001,0.001
26,0.001,0.010,0.010,0.001,0.010,0.010,0.001,0.011,0.011, 0.001, 0.013, 0.013, 0.007, 0.019, 0.020,0.000,0.001,0.001
27,0.001,0.010,0.011,0.001,0.010,0.011,0.001,0.011,0.012, 0.002, 0.012, 0.013, 0.009, 0.020, 0.021,0.000,0.001,0.001
28,0.001,0.010,0.011,0.001,0.010,0.011,0.001,0.011,0.012, 0.002, 0.012, 0.014, 0.011, 0.019, 0.024,0.000,0.000,0.001
29,0.001,0.010,0.011,0.001,0.010,0.011,0.001,0.011,0.012, 0.002, 0.013, 0.014, 0.007, 0.025, 0.026,0.000,0.001,0.001
30,0.001,0.010,0.012,0.001,0.010,0.011,0.002,0.012,0.013, 0.002, 0.013, 0.014, 0.009, 0.027, 0.028,0.000,0.001,0.001
31,0.001,0.011,0.012,0.001,0.011,0.012,0.002,0.012,0.013, 0.002, 0.013, 0.015, 0.008, 0.024, 0.025,0.000,0.001,0.001
32,0.001,0.011,0.012,0.001,0.011,0.012,0.002,0.012,0.013, 0.002, 0.013, 0.015, 0.007, 0.020, 0.021,0.000,0.001,0.001
